fontstyle,italic,Bold
CbxwjtAdvSPRING-R,0,0
ShrbdlAdvPSMP4,0,0
CrcpkwAdvPSMP13,0,0
YwstwmAdvTir_symb,0,0
RtnvbkAdvPTimesI,1,0
DxwnddTimesNewRomanPSMT,0,0
WtldrcArial-BoldMT,0,1
XswntkArialMT,0,0
AdvP4C4E59,0,0
AdvP4C4E46,0,0
AdvP4C4E51,0,0
JdqpgsMyriadPro-Regular,0,0
VhntclMyriadPro-It,1,0
XhgmmxMyriadPro-Bold,0,1
MqvjrrMyriadPro-Light,0,0
BdmhwfWarnockPro-Regular,0,0
FttjyjWarnockPro-Light,0,0
SsptdxMyriadPro-Semibold,0,1
SqcfnrMyriadPro-LightIt,1,0
HhhtqyAdvPTimes,0,0
FgmpypAdvPTimesB,0,1
YyclxqAdvPTimesBI,0,1
JkppyhAdvNPSTim-B,0,1
KskqdhAdvPSSym,0,0
TgbnvdAdvPTimesI,1,0
JbqrhdAdvP4C4E74,0,0
VwtyhbAdvPSSPS-AS,0,0
RvxwvmAdvPSMP11,0,0
VljfxmAdvCYRIL-B,0,1
HmkjtxAdvSPRING-R,0,0
CdbpxbTimesNewRomanPS-BoldMT,0,1
VjlptgAdvPi1,0,0
YdlnjgAdvTir_symb,0,0
HkdbtpAdvPSMP13,0,0
JccvmlAdvPSMP10,0,0
PrmgkmAdvTTe45e47d2,0,0
RsqqqpAdvTT7329fd89.I,1,0
GydbcpAdvTTaf7f9f4f.B,0,1
WrwytsAdvTTb5929f4c,0,0
ThmbhhAdvTT99c4c969,0,0
LtbsllAdvTT86d47313,0,0
QwndjlAdvP4C4E74,0,0
WbdtyfAdvP4C4E51,0,0
PtgnbnArialMT,0,0
RjqwgySymbolMT,0,0
PwljnxTimesNewRomanPSMT,0,0
KmkhkkAdobeSongStd-Light-GBK-EUC-H,0,0
JvfltnSymbol,0,0
RwtcltAdvTT8861b38f.I,1,0
KndxdxAdvTT1b53b5fb.I,1,0
VrfslvArial-BoldMT,0,1
CpjfjtArial-ItalicMT,1,0
WarnockPro-Light,0,0
CnhmdpMyriadPro-Regular,0,0
KnqbsnMyriadPro-It,1,0
GqqcmgMyriadPro-Bold,0,1
QvhftjMyriadPro-Light,0,0
GcdfnqSTIXMath-Regular,0,0
CmcywpMTSY,0,0
SgfchrMyriadPro-Semibold,0,1
NbhhnjWarnockPro-Regular,0,0
SdvykdMyriadPro-SemiboldIt,1,1
TymkvfWarnockPro-It,1,0
YgvdgpWarnockPro-Regular,0,0
JrljcjMTSYN,0,0
WjxyfqSPSMTSYBBold,0,1
HdjtslArial-BoldMT,0,1
